,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
8057,0.468,0.527,203507,0.538,0,0.0,5,0.0825,-7.434,1,71,0.104,117.319,0.389
8122,0.201,0.81,226520,0.82,0,0.0,11,0.13,-3.497,1,74,0.0698,92.999,0.672
8131,0.452,0.532,160187,0.455,0,0.0,2,0.237,-8.366,1,72,0.156,148.182,0.204
16138,0.0519,0.82,290160,0.783,0,0.0,2,0.111,-4.266,1,76,0.141,91.957,0.52
24159,0.0362,0.794,239133,0.855,0,0.0,2,0.142,-1.959,1,80,0.0466,91.963,0.639
24178,0.321,0.454,178550,0.583,1,1.06e-05,2,0.332,-6.596,1,69,0.133,89.134,0.216
32196,0.00515,0.626,200299,0.749,0,0.0,5,0.215,-5.406,1,78,0.0443,90.033,0.6
55616,0.185,0.524,201361,0.577,1,0.0,2,0.103,-4.501,1,77,0.18,175.396,0.19
55685,0.255,0.883,250169,0.853,0,0.000723,1,0.412,-4.773,1,73,0.168,118.003,0.695
77986,0.109,0.781,234587,0.862,0,1.87e-06,0,0.0604,-1.892,1,1,0.0609,93.988,0.748
78037,0.126,0.782,188175,0.738,1,0.00206,1,0.0692,-2.125,1,72,0.122,166.056,0.755
78055,0.268,0.952,201013,0.568,1,6.37e-05,8,0.232,-7.258,0,67,0.144,107.984,0.392
88016,0.168,0.591,198689,0.815,0,8.68e-06,10,0.142,-4.725,1,78,0.0366,118.024,0.306
97760,0.294,0.643,188893,0.79,0,0.0,4,0.107,-6.079,1,77,0.0462,95.987,0.8
97778,0.176,0.599,162583,0.733,0,0.0,11,0.242,-7.058,1,83,0.203,102.211,0.534
97791,0.482,0.806,198973,0.558,1,0.0,9,0.0618,-6.46,1,82,0.0683,95.016,0.678
97808,0.63,0.605,193668,0.365,0,6.83e-06,7,0.0554,-11.144,1,78,0.111,84.628,0.224
116656,0.43,0.672,200742,0.464,0,0.0,6,0.284,-5.624,0,81,0.037,92.069,0.271
116662,0.144,0.702,252337,0.508,1,0.0,8,0.108,-7.105,1,78,0.035,82.008,0.143
116675,0.0934,0.694,189613,0.466,0,0.0,9,0.098,-6.758,1,78,0.0384,103.018,0.246
116680,0.206,0.816,267242,0.72,0,0.0,1,0.277,-4.454,1,84,0.0684,94.004,0.78
116695,0.267,0.85,210607,0.536,1,3.89e-05,1,0.0996,-5.161,1,83,0.0599,96.029,0.505
116697,0.00575,0.862,186613,0.4,1,7.49e-06,4,0.123,-7.486,1,79,0.0736,122.963,0.596
116709,0.125,0.805,184255,0.562,0,4.96e-06,7,0.148,-3.117,0,86,0.105,172.094,0.767
126118,0.464,0.619,156722,0.453,0,0.0,5,0.149,-7.697,1,79,0.0264,96.021,0.217
126125,0.0217,0.755,202887,0.617,0,0.0,9,0.0625,-5.144,1,89,0.182,193.896,0.745
126158,0.0407,0.746,232853,0.45,0,0.0,7,0.172,-8.543,1,80,0.0872,95.998,0.336
126167,0.12,0.737,330240,0.832,0,0.0,2,0.255,-2.622,0,83,0.0798,173.986,0.865
126169,0.551,0.632,180413,0.345,0,0.0,11,0.104,-8.0,0,79,0.0349,141.641,0.0818
135453,0.17,0.722,202308,0.757,0,1.31e-05,0,0.0657,-3.592,0,81,0.0782,167.987,0.763
135480,0.402,0.756,221467,0.554,1,0.0,6,0.158,-4.24,0,80,0.0342,117.992,0.596
135498,0.0833,0.733,197307,0.552,0,7.59e-06,7,0.141,-7.404,1,75,0.0993,125.311,0.279
135531,0.586,0.813,217773,0.764,0,0.0,8,0.253,-3.39,0,81,0.105,100.047,0.429
144233,0.643,0.599,230880,0.465,0,1.57e-06,4,0.149,-4.95,1,79,0.0314,113.82,0.0678
152847,0.357,0.816,172747,0.677,1,0.0,11,0.165,-4.067,0,77,0.19,78.967,0.533
161439,0.133,0.879,191427,0.56,1,0.0,9,0.375,-6.924,0,35,0.0515,134.01,0.946
161440,0.626,0.635,184009,0.262,0,0.0,9,0.145,-12.782,1,35,0.0391,93.237,0.352
161442,0.208,0.679,184557,0.481,0,1.02e-05,3,0.284,-9.045,1,35,0.0593,80.011,0.486
161444,0.907,0.458,218000,0.13,0,0.0,11,0.164,-14.575,1,34,0.0805,162.312,0.333
161445,0.783,0.54,189240,0.226,0,7.05e-06,7,0.113,-12.186,1,34,0.0397,83.497,0.111
161446,0.691,0.471,208000,0.22,0,0.0,5,0.104,-9.243,1,33,0.037,133.714,0.26
161447,0.082,0.732,197307,0.553,0,7.84e-06,7,0.141,-7.406,1,30,0.099,125.311,0.291
161449,0.0476,0.72,196040,0.496,1,0.0,10,0.154,-8.437,1,27,0.0835,159.97,0.746
161450,0.0758,0.796,169760,0.519,0,0.0,11,0.444,-8.09,0,27,0.0511,149.929,0.492
161451,0.0449,0.708,205267,0.562,0,0.0,5,0.216,-4.864,1,29,0.0725,125.963,0.386
161452,0.0578,0.7,189907,0.392,0,0.0,9,0.0802,-8.911,1,31,0.033,103.044,0.25
161454,0.46,0.809,198973,0.547,1,0.0,9,0.0543,-7.304,1,28,0.0609,95.012,0.717
161455,0.19,0.88,166707,0.498,0,0.0,0,0.108,-7.033,1,27,0.0524,139.972,0.489
161456,0.0407,0.746,232853,0.45,0,0.0,7,0.172,-8.543,1,28,0.0873,95.998,0.336
161457,0.534,0.753,197437,0.505,0,2.58e-06,9,0.104,-7.621,1,27,0.255,91.972,0.419
161458,0.361,0.437,178560,0.551,1,8.65e-05,2,0.333,-7.044,1,28,0.143,88.941,0.245
161459,0.0758,0.796,169760,0.519,0,0.0,11,0.444,-8.09,0,27,0.0511,149.929,0.492
161460,0.178,0.576,162587,0.736,0,0.0,11,0.238,-7.572,1,27,0.224,101.928,0.484
161461,0.178,0.576,162587,0.736,0,0.0,11,0.238,-7.572,1,26,0.224,101.928,0.484
161462,0.178,0.576,162587,0.736,0,0.0,11,0.238,-7.572,1,25,0.224,101.928,0.484
169875,0.41,0.809,184817,0.624,1,0.0,8,0.108,-4.963,0,79,0.155,85.011,0.629
